CNPJ emit.;Emitente;No.;Data Emissão;Valor NF;Data Registro;Créditos;Situação do Crédito
02.549.955/0001-28;NOVA OP GRILL BAR E RESTAURANTE EIRELI;52686;26/12/2017;37,56;10/01/2018;9,36;Liberado
49.930.415/0001-53;H ROMANO e CIA LTDA ME;4326;24/12/2017;430;26/12/2017;3,35;Liberado
49.930.415/0001-53;H ROMANO e CIA LTDA ME;4321;24/12/2017;520;24/12/2017;4,05;Liberado
62.617.709/0001-98;MERCEARIA E CASA DE CARNES MONTALEGRE LTDA ME;33020;24/12/2017;128,53;24/12/2017;9,63;Liberado
07.611.230/0001-36;M C AFONSO COMERCIO DE PAES E DOCES LTDA;212137;24/12/2017;63,41;24/12/2017;20,1;Liberado
03.476.811/0741-98;DIA BRASIL SOCIEDADE LIMITADA;57211;23/12/2017;29,91;23/12/2017;0;Liberado
57.513.434/0001-02;A A AFONSO e CIA LT;7331;23/12/2017;20;24/12/2017;16,77;Liberado
45.543.915/0221-50;CARREFOUR COMERCIO E INDUSTRIA LTDA;1655;23/12/2017;19,25;23/12/2017;0;Liberado
03.994.789/0001-31;CENTRO AUTOMOTIVO GRAVATINHA EIRELI;33391;23/12/2017;154,16;24/12/2017;5,05;Liberado
07.611.230/0001-36;M C AFONSO COMERCIO DE PAES E DOCES LTDA;207562;23/12/2017;65,52;24/12/2017;20,76;Liberado
02.916.265/0304-09;JBS S A;22703;23/12/2017;23,3;23/12/2017;0;Liberado
96.428.529/0001-80;NIVALMIX LOJA DE DEPARTAMENTOS LTDA;112525;22/12/2017;496,5;22/12/2017;250,7;Liberado
03.667.884/0019-50;SERVICO SOCIAL DO COMERCIO SESC ADMINISTRACAO REG;5571;22/12/2017;6,97;22/12/2017;0;Liberado
67.616.128/0001-55;MERCADINHO AYUMI LTDA - 1;27626;22/12/2017;92,62;22/12/2017;0;Liberado
03.667.884/0007-16;SERVI?O SOCIAL DO COM?RCIO;144308;22/12/2017;3,08;23/12/2017;0;Liberado
19.161.757/0001-95;HORTIFRUTI DA VILA ABC COMERCIO DE ALIM;368883;22/12/2017;85,4;08/01/2018;10,43;Liberado
67.616.128/0001-55;MERCADINHO AYUMI LTDA;350694;22/12/2017;92,62;03/01/2018;46,34;Liberado
07.611.230/0001-36;M C AFONSO COMERCIO DE PAES E DOCES LTDA;206928;21/12/2017;21,5;21/12/2017;6,81;Liberado
07.611.230/0001-36;M C AFONSO COMERCIO DE PAES E DOCES LTDA;206903;21/12/2017;8,8;21/12/2017;2,78;Liberado
69.001.857/0001-22;SAO BENTO COMESTIVEIS LTDA;45780;21/12/2017;5,5;21/12/2017;0;Liberado
27.139.720/0001-99;F e F RESTAURANTE LTDA EPP;10836;21/12/2017;37,69;21/12/2017;10,49;Liberado
54.651.716/0011-50;SUPRICORP SUPRIMENTOS LTDA;3094763;21/12/2017;81,87;21/12/2017;0;Liberado
67.616.128/0001-55;MERCADINHO AYUMI LTDA;21029;21/12/2017;90,32;21/12/2017;45,18;Liberado
67.616.128/0001-55;MERCADINHO AYUMI LTDA - 1;27604;21/12/2017;90,32;21/12/2017;0;Liberado
11.068.184/0001-48;VIANNA SUPERMERCADO LTDA;359823;21/12/2017;59,6;28/12/2017;4,47;Liberado
02.549.955/0001-28;NOVA OPCAO GRILL BAR E RESTAURANTE EIREL;57776;21/12/2017;53,72;10/01/2018;13,39;Liberado
50.989.581/0001-04;PANDA MATERIAIS ELETRICOS LTDA;139343;20/12/2017;2238;20/12/2017;0;Liberado
47.674.429/0003-90;ELETRICA COMERCIAL  ANDRA LTDA;693666;20/12/2017;301,1;20/12/2017;0;Liberado
47.508.411/0288-32;COMPANHIA BRASILEIRA DE DISTRIBUICAO;12056;20/12/2017;22,63;20/12/2017;0;Liberado
71.670.020/0001-18;COMERCIO DE CARNES CASER LTDA ME;325;20/12/2017;632,67;20/12/2017;0;Liberado
03.667.884/0019-50;SERVICO SOCIAL DO COMERCIO SESC ADMINISTRACAO REG;4955;20/12/2017;5,32;20/12/2017;0;Liberado
71.670.020/0001-18;COMERCIO DE CARNES CASER LTDA ME;324;20/12/2017;323,79;20/12/2017;0;Liberado
71.670.020/0001-18;COMERCIO DE CARNES CASER LTDA ME;323;20/12/2017;1527,18;20/12/2017;0;Liberado
71.670.020/0001-18;COMERCIO DE CARNES CASER LTDA ME;322;20/12/2017;721,67;20/12/2017;0;Liberado
04.226.982/0003-57;C A BRAZOLIN EPP;2348;20/12/2017;199;20/12/2017;0;Liberado
01.273.052/0001-02;RED ROOF RESTAURANTES LTDA ME;6895;20/12/2017;29,06;20/12/2017;0;Liberado
67.616.128/0001-55;MERCADINHO AYUMI LTDA;34991;20/12/2017;97,51;20/12/2017;48,78;Liberado
07.033.034/0001-21;LATICINIOS CAMANDUCAIA LTDA;108504;20/12/2017;211,41;20/12/2017;0;Liberado
60.437.530/0001-23;SOCIEDADE COMERCIAL RAMPA LTDA;4987;20/12/2017;892,2;20/12/2017;0;Liberado
07.611.230/0001-36;M C AFONSO COMERCIO DE PAES E DOCES LTDA;210682;20/12/2017;55,8;20/12/2017;17,68;Liberado
67.616.128/0001-55;MERCADINHO AYUMI LTDA - 1;27572;20/12/2017;97,51;20/12/2017;0;Liberado
21.645.050/0001-04;LIVRARIA SOL TAIYODO LTDA. - EPP;57722;20/12/2017;63,6;02/01/2018;0,08;Liberado
67.616.128/0001-55;MERCADINHO AYUMI LTDA;568487;20/12/2017;0;05/01/2018;0;Liberado
03.667.884/0007-16;Servi?o Social do Com?rcio;44303;20/12/2017;11,32;21/12/2017;0;Liberado
02.549.955/0001-28;NOVA OPCAO GRILL BAR E RESTAURANTE EIREL;44684;20/12/2017;45,76;10/01/2018;11,41;Liberado
02.776.767/0001-32;VERA LUCIA TEIXEIRA CAFES - EPP;247199;20/12/2017;4,5;16/01/2018;0;Liberado
47.674.429/0003-90;ELETRICA COML ANDRA LT;693666;20/12/2017;301,1;19/02/2018;0;Liberado
14.178.223/0002-39;ROSELIS EMPORIO DE ALIMENTOS COMERCIO E SERVICOS ;113631;19/12/2017;12,17;19/12/2017;0;Liberado
92.754.738/0223-01;LOJAS RENNER S A;5476;19/12/2017;89,8;19/12/2017;6,73;Liberado
12.683.888/0001-93;NOVA MAXIMOS LTDA;122896;19/12/2017;453,28;19/12/2017;0;Liberado
67.616.128/0001-55;MERCADINHO AYUMI LTDA - 1;27546;19/12/2017;422,12;19/12/2017;0;Liberado
67.616.128/0001-55;MERCADINHO AYUMI LTDA;388052;19/12/2017;422,12;05/01/2018;211,19;Liberado
03.667.884/0007-16;SERVI?O SOCIAL DO COM?RCIO;142844;19/12/2017;13,98;20/12/2017;0;Liberado
02.549.955/0001-28;NOVA OPCAO GRILL BAR E RESTAURANTE EIREL;57597;19/12/2017;27,86;10/01/2018;6,94;Liberado
60.780.483/0002-05;FARMACIA DROGAFACIL LTDA ME;10361;18/12/2017;15,99;18/12/2017;1,19;Liberado
28.240.921/0001-40;EMPORIO TRACAM EIRELI ME;15979;18/12/2017;158,6;18/12/2017;0;Liberado
27.139.720/0001-99;F e F RESTAURANTE LTDA EPP;10844;18/12/2017;32,73;18/12/2017;9,11;Liberado
62.617.709/0001-98;MERCEARIA E CASA DE CARNES MONTALEGRE LTDA ME;7370;18/12/2017;38;19/12/2017;2,85;Liberado
12.683.888/0001-93;NOVA MAXIMOS LTDA;122571;18/12/2017;4574,04;18/12/2017;0;Liberado
67.616.128/0001-55;MERCADINHO AYUMI LTDA - 1;27526;18/12/2017;342,38;18/12/2017;0;Liberado
03.667.884/0007-16;Servi?o Social do Com?rcio;5505;18/12/2017;3,66;19/12/2017;0;Liberado
67.616.128/0001-55;MERCADINHO AYUMI LTDA;306180;18/12/2017;342,38;03/01/2018;171,3;Liberado
61.585.865/0054-63;RAIA DROGASIL S.A.;492772;18/12/2017;3,3;11/01/2018;0;Liberado
45.543.915/0029-82;CARREFOUR COM E IND LTDA;21503;17/12/2017;60,82;17/12/2017;0;Liberado
57.508.426/0036-06;COOP COOPERATIVA DE CONSUMO;20797;17/12/2017;64,2;17/12/2017;175,61;Liberado
03.667.884/0019-50;SERVICO SOCIAL DO COMERCIO SESC ADMINISTRACAO REG;3881;17/12/2017;5,81;17/12/2017;0;Liberado
49.930.415/0001-53;H ROMANO e CIA LTDA ME;4233;17/12/2017;300;17/12/2017;2,34;Liberado
51.753.580/0001-29;ERECANTO DOCE-PAES E DOCES LTDA -;45679;17/12/2017;30,44;25/12/2017;10,82;Liberado
67.886.622/0010-20;ADM COMERCIO DE ALIMENTOS LTDA;4921;16/12/2017;854;16/12/2017;5,65;Liberado
03.667.884/0019-50;SERVICO SOCIAL DO COMERCIO SESC ADMINISTRACAO REG;3659;16/12/2017;4,66;16/12/2017;0;Liberado
60.458.247/0001-88;AUTO POSTO AJOMAR LTDA;3343;16/12/2017;1249,65;16/12/2017;0;Liberado
49.930.415/0001-53;H ROMANO e CIA LTDA ME;4219;16/12/2017;400;16/12/2017;3,12;Liberado
03.439.316/0033-50;CONSTRUDECOR S.A - CUMBICA CD;3268834;16/12/2017;4907,05;16/12/2017;0;Liberado
47.508.411/0288-32;COMPANHIA BRASILEIRA DE DISTRIBUICAO;109775;16/12/2017;46,78;16/12/2017;0;Liberado
00.063.960/0015-04;WAL MART BRASIL LTDA;133101;16/12/2017;186,62;28/12/2017;0;Liberado
47.508.411/0288-32;COMPANHIA BRASILEIRA DE DISTRIBUICAO;103673;15/12/2017;14,82;15/12/2017;0;Liberado
96.428.529/0001-80;NIVALMIX LOJA DE DEPARTAMENTOS LTDA;87627;15/12/2017;67,04;15/12/2017;194,9;Liberado
27.139.720/0001-99;F e F RESTAURANTE LTDA EPP;10589;15/12/2017;39,32;15/12/2017;10,94;Liberado
33.041.260/1166-26;VIA VAREJO S/A;17584;15/12/2017;119,9;15/12/2017;0;Liberado
03.667.884/0015-26;SERVICO SOCIAL DO COMERCIO SESC ADMINISTRACAO REG;1759;15/12/2017;11,5;15/12/2017;0;Liberado
14.491.824/0001-16;ISAMAR PRESENTES LTDA;4779;15/12/2017;119,9;15/12/2017;4,31;Liberado
62.480.041/0001-80;AUTO POSTO PARELHEIROS LTDA;37997;15/12/2017;198,11;15/12/2017;0;Liberado
67.616.128/0001-55;MERCADINHO AYUMI LTDA;31717;15/12/2017;298,66;15/12/2017;149,42;Liberado
13.146.468/0001-30;TD DISTRIBUIDORA EIRELI - EPP;25335;15/12/2017;421,95;15/12/2017;0;Liberado
62.480.041/0001-80;AUTO POSTO PARELHEIROS LTDA;37928;15/12/2017;40,03;15/12/2017;0;Liberado
67.616.128/0001-55;MERCADINHO AYUMI LTDA - 1;27485;15/12/2017;298,66;15/12/2017;0;Liberado
61.365.284/0108-43;Saraiva e Siciliano  S/A - Sao Bento (3);111453;15/12/2017;94,8;29/01/2018;0;Liberado
61.412.110/0686-20;DROGARIA SAO PAULO S/A;308570;15/12/2017;160,98;26/12/2017;0;Liberado
11.068.184/0001-48;VIANNA SUPERMERCADO LTDA;335757;15/12/2017;36,16;28/12/2017;2,71;Liberado
19.898.137/0001-33;EMATE PAULISTA LTDA. - EPPF;283445;15/12/2017;9;12/01/2018;0,1;Liberado
05.341.793/0001-26;EMPORIO CHAMA LTDA;344349;15/12/2017;33,32;16/12/2017;2,49;Liberado
03.667.884/0007-16;Servi?o Social do Com?rcio;175754;15/12/2017;4;16/12/2017;0;Liberado
26.411.757/0001-61;BIWAY FAST FOOD LTDA ME;26926;14/12/2017;21,5;14/12/2017;0,02;Liberado
10.290.557/0001-68;SALES EQUIP. E PROD. HIG. PROF. LTDA.;2202634;14/12/2017;870,66;14/12/2017;0;Liberado
10.290.557/0001-68;SALES EQUIP. E PROD. HIG. PROF. LTDA.;2202572;14/12/2017;676,37;14/12/2017;0;Liberado
04.689.850/0001-08;INTERATIVA PHARMA LTDA EPP;51940;14/12/2017;2,2;14/12/2017;0,16;Liberado
60.458.247/0001-88;AUTO POSTO AJOMAR LTDA;34152;14/12/2017;127;14/12/2017;0;Liberado
12.683.888/0001-93;NOVA MAXIMOS LTDA;122330;14/12/2017;92,6;14/12/2017;0;Liberado
12.683.888/0001-93;NOVA MAXIMOS LTDA;122327;14/12/2017;596,95;14/12/2017;0;Liberado
03.667.884/0019-50;SERVICO SOCIAL DO COMERCIO SESC ADMINISTRACAO REG;3209;14/12/2017;4,62;14/12/2017;0;Liberado
47.508.411/0288-32;COMPANHIA BRASILEIRA DE DISTRIBUICAO;110117;14/12/2017;7,89;14/12/2017;0;Liberado
03.667.884/0019-50;SERVICO SOCIAL DO COMERCIO SESC ADMINISTRACAO REG;3024;14/12/2017;6;14/12/2017;0;Liberado
49.930.415/0001-53;H ROMANO e CIA LTDA ME;4187;14/12/2017;200;14/12/2017;1,56;Liberado
47.508.411/0288-32;COMPANHIA BRASILEIRA DE DISTRIBUICAO;110103;14/12/2017;4,46;14/12/2017;0;Liberado
07.686.203/0001-22;CRIDON COMERCIO LTDA - EPP;38232;14/12/2017;55,07;14/12/2017;0;Liberado
47.508.411/0288-32;COMPANHIA BRASILEIRA DE DISTRIBUICAO;110049;14/12/2017;3,95;14/12/2017;0;Liberado
67.616.128/0001-55;MERCADINHO AYUMI LTDA - 1;27467;14/12/2017;567,79;14/12/2017;0;Liberado
03.667.884/0007-16;SERVI?O SOCIAL DO COM?RCIO;141229;14/12/2017;3,75;15/12/2017;0;Liberado
02.549.955/0001-28;NOVA OP GRILL BAR E RESTAURANTE EIRELI;49922;14/12/2017;40,69;10/01/2018;10,14;Liberado
67.616.128/0001-55;MERCADINHO AYUMI LTDA;305061;14/12/2017;567,79;03/01/2018;250,7;Liberado
19.161.757/0001-95;HORTIFRUTI DA VILA ABC COM? DE ALIMENT;575611;14/12/2017;87,06;08/01/2018;10,64;Liberado
68.358.472/0002-35;WORKEAT RESTAURANTE LTDA EPP;91949;13/12/2017;7;13/12/2017;0;Liberado
26.411.757/0001-61;BIWAY FAST FOOD LTDA ME;26737;13/12/2017;14,5;13/12/2017;0,01;Liberado
03.019.514/0001-87;COMERCIAL MARUKAI LTDA;38868;13/12/2017;6;13/12/2017;0,45;Liberado
02.125.785/0001-54;SHIN BUENO COM DE PRODS ALIMENTICIOS LTD;33567;13/12/2017;3;13/12/2017;0;Liberado
43.805.738/0001-39;DISTRIBUIDORA DE VIDROS PAULISTA LTDA;41169;13/12/2017;639,16;13/12/2017;0;Liberado
49.930.415/0001-53;H ROMANO e CIA LTDA ME;4176;13/12/2017;300;13/12/2017;2,34;Liberado
03.667.884/0019-50;SERVICO SOCIAL DO COMERCIO SESC ADMINISTRACAO REG;783;13/12/2017;6,79;13/12/2017;0;Liberado
52.974.011/0001-76;GRANATA COMERCIO DE CONFECCOES EIRELI;1603;13/12/2017;46;13/12/2017;3,45;Liberado
02.125.785/0001-54;SHIN BUENO COM DE PRODS ALIMENTICIOS LTD;41149;13/12/2017;13;13/12/2017;0,03;Liberado
02.125.785/0001-54;SHIN BUENO COM DE PRODS ALIMENTICIOS LTD;111308;13/12/2017;19,65;13/12/2017;0,05;Liberado
28.187.175/0001-79;LUENBE COMERCIO DE ALIMENTOS EIRELI ME;10777;13/12/2017;28;13/12/2017;0;Liberado
14.491.824/0001-16;ISAMAR PRESENTES LTDA;4744;13/12/2017;249,9;13/12/2017;8,98;Liberado
23.520.159/0001-32;TIETE PHARMA LTDA ME;154025;13/12/2017;12;13/12/2017;7,7;Liberado
00.650.434/0001-37;RESTAURANTE TENDA PAULISTA REFEICOES LTDA EPP;36439;13/12/2017;61,39;14/12/2017;4,6;Liberado
49.930.415/0001-53;H ROMANO e CIA LTDA ME;4167;13/12/2017;400;13/12/2017;3,12;Liberado
47.508.411/0288-32;COMPANHIA BRASILEIRA DE DISTRIBUICAO;109688;13/12/2017;23,4;13/12/2017;0;Liberado
67.616.128/0001-55;MERCADINHO AYUMI LTDA - 1;27455;13/12/2017;663,5;13/12/2017;0;Liberado
17.961.850/0001-59;MIXIRICA;119222;13/12/2017;25,8;30/01/2018;0,56;Liberado
03.667.884/0007-16;Servi?o Social do Com?rcio;174417;13/12/2017;2,82;14/12/2017;0;Liberado
75.315.333/0133-59;ATACADAO S.A.;499535;13/12/2017;186,73;14/12/2017;14;Liberado
52.974.011/0001-76;GRANATA COMERCIO DE CONFECCOES LTD;40009;13/12/2017;85;04/01/2018;6,37;Liberado
47.197.322/0001-36;HIMAWARI MODAS E PRESENTES LTDA - M;20439;13/12/2017;180;05/01/2018;13,5;Liberado
02.543.945/0002-66;ULTRAFARMA SAUDE LTDA;637771;13/12/2017;76,35;18/12/2017;1,22;Liberado
61.099.834/0007-86;ARTHUR LUNDGREN TECIDOS S/A - C;313072;13/12/2017;59,99;15/12/2017;4,49;Liberado
01.874.166/0009-57;MASTER ATS SUPERMERCADOS LTDA;136499;12/12/2017;23,74;12/12/2017;1,78;Liberado
52.974.011/0001-76;GRANATA COMERCIO DE CONFECCOES EIRELI;1526;12/12/2017;97;12/12/2017;7,27;Liberado
03.476.811/0728-10;DIA BRASIL SOCIEDADE LIMITADA;106377;12/12/2017;22,75;12/12/2017;0;Liberado
20.635.618/0001-35;ALEXANDRE FRASCARI - EPP;54;12/12/2017;301,5;12/12/2017;0;Liberado
11.746.175/0001-69;EMILIA PLASTICOS LTDA;20975;12/12/2017;387,7;12/12/2017;0;Liberado
23.541.382/0001-66;MERCADO DF SANTO ANTONIO LTDA;261509;12/12/2017;6,89;12/12/2017;0,51;Liberado
03.578.180/0001-81;AFONSO e GENNARI LTDA;125796;12/12/2017;87,75;12/12/2017;0,97;Liberado
45.543.915/0573-70;Carrefour Comercio e Industria Ltda;22848;12/12/2017;4,94;12/12/2017;0;Liberado
60.872.124/0003-50;DE MEO COMERCIAL IMPORTADORA LTDA;23532;12/12/2017;57;12/12/2017;4,27;Liberado
55.928.923/0001-08;A ESQUINA COMERCIO DE GENEROS ALIMENTICIOS LTDA E;64529;12/12/2017;6,5;12/12/2017;0,29;Liberado
24.075.374/0001-34;DRUGSTORE LIBERDADE DROGARIA E PERFUMARIA LTDA;34202;12/12/2017;28;12/12/2017;0,57;Liberado
52.974.011/0001-76;GRANATA COMERCIO DE CONFECCOES EIRELI;752;12/12/2017;88;12/12/2017;6,6;Liberado
47.508.411/1772-42;COMPANHIA BRASILEIRA DE DISTRIBUICAO;44911;12/12/2017;17,17;12/12/2017;0;Liberado
62.480.041/0001-80;AUTO POSTO PARELHEIROS LTDA;37421;12/12/2017;241;12/12/2017;0;Liberado
60.780.483/0002-05;FARMACIA DROGAFACIL LTDA ME;9971;12/12/2017;123,23;12/12/2017;9,24;Liberado
67.616.128/0001-55;MERCADINHO AYUMI LTDA;17633;12/12/2017;423,44;12/12/2017;211,85;Liberado
60.458.247/0001-88;AUTO POSTO AJOMAR LTDA;33824;12/12/2017;240;12/12/2017;0;Liberado
47.508.411/0288-32;COMPANHIA BRASILEIRA DE DISTRIBUICAO;9964;12/12/2017;35,7;12/12/2017;0;Liberado
67.616.128/0001-55;MERCADINHO AYUMI LTDA - 1;27437;12/12/2017;423,44;12/12/2017;0;Liberado
07.330.264/0001-52;F.D. FREDERICH - ME;111859;12/12/2017;84,5;11/01/2018;6,33;Liberado
54.651.716/0011-50;SUPRICORP SUPRIMENTOS LTDA;3079346;11/12/2017;73,06;11/12/2017;0;Liberado
54.651.716/0011-50;SUPRICORP SUPRIMENTOS LTDA;3079345;11/12/2017;73,06;11/12/2017;0;Liberado
42.591.651/0138-06;ARCOS DOURADOS COMERCIO DE ALIMENTOS LTDA;221618;11/12/2017;49,3;11/12/2017;0;Liberado
43.283.811/0012-02;Kalunga Comercio Industria Grafica Ltda;4831035;11/12/2017;122,28;11/12/2017;0;Liberado
52.974.011/0001-76;GRANATA COMERCIO DE CONFECCOES EIRELI;748;11/12/2017;82;11/12/2017;6,15;Liberado
52.974.011/0001-76;GRANATA COMERCIO DE CONFECCOES EIRELI;732;11/12/2017;29;11/12/2017;2,17;Liberado
67.616.128/0001-55;MERCADINHO AYUMI LTDA;16571;11/12/2017;500,98;11/12/2017;250,65;Liberado
47.508.411/0288-32;COMPANHIA BRASILEIRA DE DISTRIBUICAO;111869;11/12/2017;5,08;11/12/2017;0;Liberado
67.616.128/0001-55;MERCADINHO AYUMI LTDA - 1;27419;11/12/2017;500,98;11/12/2017;0;Liberado
17.336.406/0001-42;ZIPSTER COMERCIO E PARTICIPACOES LTDA;92143;11/12/2017;88;02/01/2018;0;Liberado
03.667.884/0007-16;Servi?o Social do Com?rcio;241158;11/12/2017;4,48;12/12/2017;0;Liberado
05.636.425/0001-05;KILUS GRILL LTDA - EPP;91414;11/12/2017;35,93;12/12/2017;32,44;Liberado
08.328.447/0001-04;PASTELARIA KITUUTSS LTDA;153681;11/12/2017;3,88;09/01/2018;0;Liberado
08.788.751/0001-26;R.P. GAION ALIMENTOS - ME;188236;11/12/2017;24,7;09/01/2018;1,85;Liberado
61.585.865/0185-22;RAIA DROGASIL S.A.;181491;11/12/2017;13,04;10/01/2018;0;Liberado
26.174.731/0001-47;RODRIGUES LAMBERT e CIA LTDA ME;28290;10/12/2017;61,38;10/12/2017;0;Liberado
49.930.415/0001-53;H ROMANO e CIA LTDA ME;4140;10/12/2017;240;10/12/2017;1,87;Liberado
03.667.884/0019-50;SERVICO SOCIAL DO COMERCIO SESC ADMINISTRACAO REG;2959;10/12/2017;64,13;10/12/2017;0;Liberado
03.667.884/0047-03;SERVICO SOCIAL DO COMERCIO SESC ADMINISTRACAO REG;29301;10/12/2017;7,87;10/12/2017;0;Liberado
04.126.722/0002-29;A M A COMERCIO DE ALIMENTOS LTDA;232026;10/12/2017;57;10/12/2017;84,35;Liberado
07.734.216/0001-20;MERCADO COUNTRY LTDA EPP;2081;10/12/2017;236,37;10/12/2017;2,23;Liberado
11.317.530/0001-84;ST MARCHE;168365;10/12/2017;26,42;13/12/2017;0,14;Liberado
53.154.225/0054-70;BCEM COMERCIO DE PRODUTOS ALIMENTICIOS LTDA;11668;09/12/2017;4,5;10/12/2017;0;Liberado
53.154.225/0054-70;BCEM COMERCIO DE PRODUTOS ALIMENTICIOS LTDA;11666;09/12/2017;26,9;10/12/2017;0;Liberado
53.154.225/0054-70;BCEM COMERCIO DE PRODUTOS ALIMENTICIOS LTDA;11659;09/12/2017;31,9;10/12/2017;0;Liberado
53.383.659/0001-30;M M C GOYA PERFUMARIA LTDA;11943;09/12/2017;36,95;09/12/2017;0;Liberado
52.974.011/0001-76;GRANATA COMERCIO DE CONFECCOES EIRELI;571;09/12/2017;135;09/12/2017;10,12;Liberado
03.667.884/0047-03;SERVICO SOCIAL DO COMERCIO SESC ADMINISTRACAO REG;22149;09/12/2017;13,72;09/12/2017;0;Liberado
03.667.884/0019-50;SERVICO SOCIAL DO COMERCIO SESC ADMINISTRACAO REG;2612;09/12/2017;13,51;09/12/2017;0;Liberado
60.397.551/0001-62;MERCEARIA E BOMBONIERE TOWA LTDA;79309;09/12/2017;87,5;09/12/2017;2,95;Liberado
